,Unnamed: 0,lam1,P11,lam2,P22
0,0,1.0,0.0,1.0,-0.0
1,1,1.000897642473507,0.0,1.0014872283414638,-0.0
2,2,1.001727343027557,0.0,1.0030789861214122,-0.0
3,3,1.002569149316092,0.0,1.004703223942992,-0.0
4,4,1.0036374043723937,0.0,1.0066772226565062,0.0008196968564297
5,5,1.0044682912980545,0.0,1.0084392541006164,-0.0
6,6,1.0051470181509998,0.0,1.0097557214479276,-0.0
7,7,1.0060185609422332,0.0,1.0112827499383317,-0.0
8,8,1.0068514389292362,0.0,1.0129868907481203,-0.0
9,9,1.0077826954054625,0.0,1.0149895086111111,0.0008196968564297
10,10,1.0087855766453913,0.0,1.016671178832504,-0.0
11,11,1.0095860796076055,0.0,1.0181958703168188,0.0008196968564297
12,12,1.0101564144781991,0.0,1.0190630504025768,0.0016393937128595
13,13,1.0111246082106409,0.0,1.0206299512679855,-0.0
14,14,1.0124402797470895,0.0,1.022499870677376,0.0008196968564297
15,15,1.0133151483570475,0.0,1.0241008504232727,0.0016393937128595
16,16,1.0144099203765449,0.0,1.0258887129562468,-0.0
17,17,1.0152851925524842,0.0,1.0274123609581525,0.0024590905692893
18,18,1.0159710007398006,0.0,1.028499857146962,0.0008196968564297
19,19,1.0173290098500063,0.0008263621423008,1.0302800730118236,0.0016393937128595
20,20,1.0183965178870429,0.0008263621423008,1.0318780395499216,0.003278787425719
21,21,1.0194285888285848,0.0008263621423008,1.0330755140990844,0.003278787425719
22,22,1.0202753381336886,0.0033054485692035,1.0346542637867324,0.0040984842821488
23,23,1.0210886596387982,0.0024790864269026,1.035932584358407,0.0040984842821488
24,24,1.0221360167611604,0.005701898781876,1.0370199459333087,0.0058198476806513
25,25,1.023078868984675,0.0033054485692035,1.037823480980732,0.0058198476806513
26,26,1.024087205190877,0.0049581728538052,1.0386592818558764,0.0066395445370811
27,27,1.024961528914675,0.0049581728538052,1.0396187411520277,0.0066395445370811
28,28,1.0260830899498683,0.0041318107115044,1.0407426849587509,0.0066395445370811
29,29,1.0272277506322944,0.0065282609241769,1.0422865240014616,0.0090986351063704
30,30,1.0279417973155986,0.0073546230664778,1.043220772346955,0.0107380288192299
31,31,1.0288750803987077,0.0090073473510796,1.044194371892951,0.0115577256756597
32,32,1.0297445288022868,0.0114864337779822,1.0453658467515816,0.014098785930592
33,33,1.0303900768056575,0.0114864337779822,1.0464135728805843,0.017377573356311
34,34,1.031336451372009,0.0106600716356813,1.0476628586496763,0.0198366639256003
35,35,1.0322569623921898,0.013139158062584,1.0487607973211237,0.0231974210369624
36,36,1.032587946947264,0.013139158062584,1.049705064536432,0.0264762084626815
37,37,1.0331693664051884,0.013139158062584,1.05037945443956,0.028115602175541
38,38,1.03339260699057,0.019667418986761,1.0511102352591133,0.0347551467126221
39,39,1.034006733921922,0.0213201432713627,1.0522780729257182,0.0405749943932735
40,40,1.0341037991193596,0.026278316125168,1.0530641214576353,0.0471325692447116
41,41,1.0344616433392115,0.0270220420532388,1.0539744066804904,0.052952416925363
42,42,1.0346122378116596,0.0295011284801415,1.0545136138647433,0.0595919614624441
43,43,1.0347597893288425,0.0311538527647432,1.055342627824766,0.0654118091430954
44,44,1.0347256019960676,0.0352856634762477,1.0563945743368472,0.0753301411058956
45,45,1.0346811446249815,0.039334837973522,1.0571512284061522,0.084428776212266
46,46,1.0346208136839457,0.0418139244004246,1.0580978308614164,0.0943471081750662
47,47,1.0347804021993263,0.0434666486850264,1.0588022841725109,0.105904833850726
48,48,1.034643521541894,0.0459457351119291,1.0590825296005266,0.1133640752442368
49,49,1.0346504144034154,0.0516476338938051,1.0603082428111457,0.1249218009198966
50,50,1.0347625642850466,0.0541267203207078,1.061117922173379,0.1390205868504886
51,51,1.0345063563047532,0.059002256960283,1.061552608526929,0.1505783125261483
52,52,1.0343462061213629,0.0647867919563892,1.06213945715635,0.1646770984567403
53,53,1.0342416791443332,0.0713150528805662,1.0627841854053586,0.1771364906744728
54,54,1.0344641884638752,0.0729677771651679,1.063754293715078,0.1936943671743541
55,55,1.0344245073463294,0.0770995878766724,1.0644685924266868,0.2060717897064436
56,56,1.034309196343806,0.0828014866585484,1.065109024893293,0.2218099693498951
57,57,1.0340900765550944,0.0877596595123537,1.065670930442544,0.2383678458497764
58,58,1.0343352029368005,0.092635196151929,1.0664040257272125,0.2549257223496577
59,59,1.0340614237294752,0.1016425435030086,1.0671327369964332,0.2697622354510365
